Scanning frequency (eV)      Vibronic intensity (a.u.)      Total intensity (a.u.)
2.6263000e+00                  5.3832026e-10                  5.3832026e-10
2.6264000e+00                  4.2613783e-10                  4.2613783e-10
2.6265000e+00                  3.6760159e-10                  3.6760159e-10
2.6266000e+00                  3.4853308e-10                  3.4853308e-10
2.6267000e+00                  3.5546484e-10                  3.5546484e-10
2.6268000e+00                  3.7830108e-10                  3.7830108e-10
2.6269000e+00                  4.1244391e-10                  4.1244391e-10
2.6270000e+00                  4.6042550e-10                  4.6042550e-10
2.6271000e+00                  5.3281223e-10                  5.3281223e-10
2.6272000e+00                  6.4787421e-10                  6.4787421e-10
2.6273000e+00                  8.2940725e-10                  8.2940725e-10
2.6274000e+00                  1.1022809e-09                  1.1022809e-09
2.6275000e+00                  1.4858270e-09                  1.4858270e-09
2.6276000e+00                  1.9860359e-09                  1.9860359e-09
2.6277000e+00                  2.5884649e-09                  2.5884649e-09
2.6278000e+00                  3.2543899e-09                  3.2543899e-09
2.6279000e+00                  3.9225454e-09                  3.9225454e-09
2.6280000e+00                  4.5175309e-09                  4.5175309e-09
2.6281000e+00                  4.9637869e-09                  4.9637869e-09
2.6282000e+00                  5.2017402e-09                  5.2017402e-09
2.6283000e+00                  5.2013527e-09                  5.2013527e-09
2.6284000e+00                  4.9687077e-09                  4.9687077e-09
2.6285000e+00                  4.5434971e-09                  4.5434971e-09
2.6286000e+00                  3.9884426e-09                  3.9884426e-09
2.6287000e+00                  3.3744080e-09                  3.3744080e-09
2.6288000e+00                  2.7660393e-09                  2.7660393e-09
2.6289000e+00                  2.2118729e-09                  2.2118729e-09
2.6290000e+00                  1.7406085e-09                  1.7406085e-09
2.6291000e+00                  1.3628291e-09                  1.3628291e-09
2.6292000e+00                  1.0759221e-09                  1.0759221e-09
2.6293000e+00                  8.6972037e-10                  8.6972037e-10
2.6294000e+00                  7.3117073e-10                  7.3117073e-10
2.6295000e+00                  6.4746110e-10                  6.4746110e-10
2.6296000e+00                  6.0789682e-10                  6.0789682e-10
2.6297000e+00                  6.0511247e-10                  6.0511247e-10
2.6298000e+00                  6.3603712e-10                  6.3603712e-10
2.6299000e+00                  7.0268068e-10                  7.0268068e-10
2.6300000e+00                  8.1256486e-10                  8.1256486e-10
2.6301000e+00                  9.7863157e-10                  9.7863157e-10
2.6302000e+00                  1.2187142e-09                  1.2187142e-09
2.6303000e+00                  1.5550215e-09                  1.5550215e-09
2.6304000e+00                  2.0143472e-09                  2.0143472e-09
2.6305000e+00                  2.6296131e-09                  2.6296131e-09
2.6306000e+00                  3.4426380e-09                  3.4426380e-09
2.6307000e+00                  4.5066416e-09                  4.5066416e-09
2.6308000e+00                  5.8853586e-09                  5.8853586e-09
2.6309000e+00                  7.6446993e-09                  7.6446993e-09
2.6310000e+00                  9.8339383e-09                  9.8339383e-09
2.6311000e+00                  1.2457216e-08                  1.2457216e-08
2.6312000e+00                  1.5442083e-08                  1.5442083e-08
2.6313000e+00                  1.8617405e-08                  1.8617405e-08
2.6314000e+00                  2.1714620e-08                  2.1714620e-08
2.6315000e+00                  2.4401310e-08                  2.4401310e-08
2.6316000e+00                  2.6344727e-08                  2.6344727e-08
2.6317000e+00                  2.7289356e-08                  2.7289356e-08
2.6318000e+00                  2.7123471e-08                  2.7123471e-08
2.6319000e+00                  2.5910375e-08                  2.5910375e-08
2.6320000e+00                  2.3871533e-08                  2.3871533e-08
2.6321000e+00                  2.1326684e-08                  2.1326684e-08
2.6322000e+00                  1.8611982e-08                  1.8611982e-08
2.6323000e+00                  1.6004237e-08                  1.6004237e-08
2.6324000e+00                  1.3674589e-08                  1.3674589e-08
2.6325000e+00                  1.1681496e-08                  1.1681496e-08
2.6326000e+00                  9.9974867e-09                  9.9974867e-09
2.6327000e+00                  8.5534455e-09                  8.5534455e-09
2.6328000e+00                  7.2818000e-09                  7.2818000e-09
2.6329000e+00                  6.1452812e-09                  6.1452812e-09
2.6330000e+00                  5.1470442e-09                  5.1470442e-09
2.6331000e+00                  4.3262604e-09                  4.3262604e-09
2.6332000e+00                  3.7475219e-09                  3.7475219e-09
2.6333000e+00                  3.4916345e-09                  3.4916345e-09
2.6334000e+00                  3.6509341e-09                  3.6509341e-09
2.6335000e+00                  4.3267277e-09                  4.3267277e-09
2.6336000e+00                  5.6225237e-09                  5.6225237e-09
2.6337000e+00                  7.6264068e-09                  7.6264068e-09
2.6338000e+00                  1.0379932e-08                  1.0379932e-08
2.6339000e+00                  1.3838324e-08                  1.3838324e-08
