Scanning frequency (eV)      Vibronic intensity (a.u.)      Total intensity (a.u.)
2.6327000e+00                  1.2610870e-29                  1.2610870e-29
2.6328000e+00                  1.3571299e-29                  1.3571299e-29
2.6329000e+00                  1.4448882e-29                  1.4448882e-29
2.6330000e+00                  1.5191020e-29                  1.5191020e-29
2.6331000e+00                  1.5796567e-29                  1.5796567e-29
2.6332000e+00                  1.6318727e-29                  1.6318727e-29
2.6333000e+00                  1.6845853e-29                  1.6845853e-29
2.6334000e+00                  1.7467027e-29                  1.7467027e-29
2.6335000e+00                  1.8236619e-29                  1.8236619e-29
2.6336000e+00                  1.9153548e-29                  1.9153548e-29
2.6337000e+00                  2.0165425e-29                  2.0165425e-29
2.6338000e+00                  2.1197321e-29                  2.1197321e-29
2.6339000e+00                  2.2193707e-29                  2.2193707e-29
2.6340000e+00                  2.3155383e-29                  2.3155383e-29
2.6341000e+00                  2.4154078e-29                  2.4154078e-29
2.6342000e+00                  2.5316137e-29                  2.5316137e-29
2.6343000e+00                  2.6779779e-29                  2.6779779e-29
2.6344000e+00                  2.8642255e-29                  2.8642255e-29
2.6345000e+00                  3.0918291e-29                  3.0918291e-29
2.6346000e+00                  3.3527086e-29                  3.3527086e-29
2.6347000e+00                  3.6313312e-29                  3.6313312e-29
2.6348000e+00                  3.9093544e-29                  3.9093544e-29
2.6349000e+00                  4.1709621e-29                  4.1709621e-29
2.6350000e+00                  4.4069044e-29                  4.4069044e-29
2.6351000e+00                  4.6159671e-29                  4.6159671e-29
2.6352000e+00                  4.8037785e-29                  4.8037785e-29
2.6353000e+00                  4.9799162e-29                  4.9799162e-29
2.6354000e+00                  5.1547625e-29                  5.1547625e-29
2.6355000e+00                  5.3373530e-29                  5.3373530e-29
2.6356000e+00                  5.5347880e-29                  5.5347880e-29
2.6357000e+00                  5.7530421e-29                  5.7530421e-29
2.6358000e+00                  5.9985555e-29                  5.9985555e-29
2.6359000e+00                  6.2799723e-29                  6.2799723e-29
2.6360000e+00                  6.6096853e-29                  6.6096853e-29
2.6361000e+00                  7.0051455e-29                  7.0051455e-29
2.6362000e+00                  7.4898850e-29                  7.4898850e-29
2.6363000e+00                  8.0937776e-29                  8.0937776e-29
2.6364000e+00                  8.8514662e-29                  8.8514662e-29
2.6365000e+00                  9.7976606e-29                  9.7976606e-29
2.6366000e+00                  1.0958686e-28                  1.0958686e-28
2.6367000e+00                  1.2341351e-28                  1.2341351e-28
2.6368000e+00                  1.3922341e-28                  1.3922341e-28
